Epoch,training loss,test lost,test acc
1,1.9864073975086212,1.9029779556274413,0.311
2,1.555404386281967,1.4924829692840575,0.4648
3,1.3932008225917816,1.3194180557250976,0.523
4,1.2876270503997802,1.2317066812515258,0.5617
5,1.1998034524917602,1.300626953125,0.5541
6,1.1332964677810669,1.2778904975891112,0.557
7,1.0661208627223968,1.1777809679031372,0.585
8,1.0185523482561112,1.123333766555786,0.612
9,0.974001224398613,1.0845768800735474,0.6267
10,0.9336749590635299,1.0964585189819336,0.616
11,0.8980577311515808,1.132690661430359,0.6086
12,0.8586764808893204,1.1240878545761108,0.6248
13,0.8257269307374954,1.1317214933395385,0.6187
14,0.7945053662061692,1.1214378929138185,0.6245
15,0.7633827811479569,1.1419241470336914,0.6283
16,0.743182988524437,1.1351637744903564,0.6236
17,0.7079155331254006,1.1669783197402954,0.6279
18,0.6892024762034417,1.2262470058441162,0.6104
19,0.6710897530913353,1.247846689605713,0.6109
20,0.6418848145008087,1.4056641223907471,0.5962
21,0.6319516613483429,1.2788356246948243,0.6212
22,0.6115822684168816,1.319361110496521,0.6156
23,0.5917802534103394,1.3881034921646118,0.6042
24,0.5740887945294381,1.4134452560424804,0.6085
25,0.5582052206397057,1.4547725090026855,0.6052
26,0.5483580443263054,1.4614667980194092,0.616
27,0.5263585785627365,1.51918539352417,0.5982
28,0.5281301438808441,1.5490803123474122,0.6018
29,0.5052724883556367,1.5320150428771973,0.6051
30,0.4957143316268921,1.5769158695220948,0.5959
31,0.4828610400259495,1.6736762744903564,0.5989
32,0.47450024750828745,1.671293325996399,0.6048
33,0.471816079556942,1.7038415168762207,0.5865
34,0.4482260856032372,1.7929246433258057,0.5953
35,0.4488383443951607,1.7583466785430908,0.5904
36,0.4496651057898998,1.8095652919769287,0.5869
37,0.4302749938368797,1.8182511322021484,0.5927
38,0.43031516832113265,1.8804351779937745,0.5873
39,0.42463539317250254,1.8024710094451903,0.5973
40,0.41292502790689467,1.901862965774536,0.5919
41,0.40932178792357443,1.9893520015716553,0.5942
42,0.40997288984060287,1.9980108177185059,0.5882
43,0.4027074546515942,2.0123430614471434,0.5921
44,0.4034272837936878,1.9986424770355224,0.5783
45,0.3993247098326683,2.0655190734863282,0.5898
46,0.390483598485589,2.1824666385650633,0.5767
47,0.39965261828899384,2.1322172603607177,0.5793
48,0.38311601465940476,2.1322004169464113,0.5767
49,0.38022471672296526,2.131912649154663,0.5847
50,0.37445799344778063,2.155535090255737,0.5822
51,0.372365612924099,2.372222264480591,0.5787
52,0.37367034751176836,2.2514060977935793,0.5832
53,0.3793728955090046,2.249334164428711,0.5802
54,0.3718962456583977,2.4301202823638914,0.5772
55,0.3635555796921253,2.2485668548583986,0.5767
56,0.3558134378194809,2.431286198043823,0.5746
57,0.3526239017993212,2.504858360290527,0.5841
58,0.36607829439640044,2.3899026527404783,0.5805
59,0.3557703436911106,2.5285108234405516,0.5795
60,0.34597205838561057,2.48905562953949,0.5753
61,0.36569442054629325,2.4732844757080077,0.5731
62,0.35265535064041614,2.527635096359253,0.5844
63,0.339461541891098,2.7043705554962156,0.5635
64,0.34742972227931024,2.6548392517089843,0.5738
65,0.3354956349730492,2.6314278423309325,0.5787
66,0.3651884635984898,2.6509681076049803,0.5771
67,0.3548611014932394,2.566229033279419,0.5763
68,0.34076282420754433,2.6475188022613527,0.5696
69,0.33306141224503516,2.6888901596069337,0.5751
70,0.34392832835018633,2.6610014991760256,0.5787
71,0.35018097510933877,2.6979367095947264,0.5805
72,0.34725558911263943,2.6527398010253904,0.5773
73,0.33520356369018556,2.7051783031463623,0.5786
74,0.34423359759151934,2.749601760864258,0.5745
75,0.3245661330521107,2.7373316551208497,0.5751
76,0.35624940544366834,2.810673408508301,0.5769
77,0.3435908304452896,2.8427830017089843,0.5674
78,0.32466954289376737,2.800418755722046,0.5732
79,0.3335438194721937,2.823043445587158,0.5734
80,0.34521013854444027,2.8654467132568358,0.5782
81,0.3444490959495306,2.9569313827514647,0.5688
82,0.3290230312794447,2.9480142585754394,0.5709
83,0.3428703414052725,3.0956891136169435,0.568
84,0.3427642916738987,2.9874741691589355,0.573
85,0.335565374866128,3.0374491924285887,0.5747
86,0.32892584961652754,3.0632852294921875,0.5566
87,0.33942044830322265,3.073472702026367,0.5664
88,0.3384623262286186,2.9741450607299806,0.5584
89,0.3091651286035776,3.0629082565307617,0.5667
90,0.3435627234131098,3.0848018882751465,0.5714
91,0.34964590296149256,3.109391201019287,0.5651
92,0.32981083951890466,3.053163651275635,0.5664
93,0.34740805135667324,3.0526051200866697,0.5629
94,0.33014743439108135,3.025225028991699,0.559
95,0.3215992248505354,3.2470484268188478,0.5653
96,0.3421063618659973,3.0172198291778565,0.5592
97,0.32938050183653833,3.122920032119751,0.5729
98,0.3399353379905224,3.2145396102905273,0.5574
99,0.31817011994123456,3.292477202987671,0.5614
,0.34529054537415504,3.3196508518218995,0.5595
