epoch,training loss,test acc
1,1.91,41.59
2,1.47,52.16
3,1.27,58.0
4,1.12,63.48
5,1.0,66.35
6,0.9,67.6
7,0.83,70.47
8,0.76,68.47
9,0.71,70.68
10,0.65,70.94
11,0.6,69.24
12,0.56,71.75
13,0.51,72.38
14,0.48,70.78
15,0.44,71.67
16,0.4,68.96
17,0.37,70.36
18,0.34,71.76
19,0.3,67.79
20,0.28,70.29
21,0.26,71.27
22,0.23,69.84
23,0.22,70.27
24,0.2,69.39
25,0.19,70.95
26,0.18,70.21
27,0.17,69.78
28,0.16,69.27
29,0.15,70.21
30,0.14,70.34
31,0.15,69.66
32,0.14,69.61
33,0.11,68.23
34,0.12,70.13
35,0.12,69.24
36,0.12,70.44
37,0.1,69.55
38,0.11,69.6
39,0.11,69.68
40,0.1,70.02
41,0.09,68.73
42,0.1,69.97
43,0.09,69.78
44,0.08,69.9
45,0.1,68.7
46,0.09,68.41
47,0.1,69.32
48,0.07,69.72
49,0.1,68.02
50,0.08,69.69
51,0.08,68.78
52,0.08,69.6
53,0.09,69.11
54,0.08,69.07
55,0.07,68.95
56,0.1,69.31
57,0.08,70.08
58,0.06,69.27
59,0.05,69.78
60,0.07,69.41
61,0.1,68.99
62,0.08,69.37
63,0.06,70.14
64,0.05,69.6
65,0.07,67.37
66,0.07,67.71
67,0.08,69.45
68,0.06,69.39
69,0.05,68.1
70,0.08,68.67
71,0.08,68.93
72,0.08,69.32
73,0.07,68.88
74,0.04,69.71
75,0.04,69.43
76,0.04,68.9
77,0.11,68.13
78,0.09,68.37
79,0.08,66.37
80,0.08,69.11
81,0.06,69.27
82,0.07,68.8
83,0.09,68.95
84,0.08,68.74
85,0.07,68.82
86,0.06,68.95
87,0.06,68.95
88,0.06,68.95
89,0.07,69.46
90,0.09,68.93
91,0.08,68.77
92,0.06,68.53
93,0.07,68.53
94,0.07,68.9
95,0.05,69.46
96,0.06,68.64
97,0.07,68.85
98,0.11,68.7
99,0.11,68.5
100,0.07,68.15
101,0.06,69.62
102,0.09,68.94
103,0.07,69.45
104,0.05,68.45
105,0.08,67.87
106,0.1,67.19
107,0.09,68.65
108,0.1,67.7
109,0.06,68.56
110,0.07,67.97
111,0.08,68.67
112,0.07,67.96
113,0.1,68.65
114,0.09,68.34
115,0.08,67.81
116,0.12,68.75
117,0.09,68.98
118,0.08,68.99
119,0.08,69.4
120,0.09,68.48
121,0.1,68.38
122,0.09,68.61
123,0.1,68.22
124,0.09,67.54
125,0.07,68.87
126,0.09,68.65
127,0.12,67.8
128,0.08,68.51
129,0.13,68.28
130,0.12,67.6
131,0.13,68.87
132,0.07,68.21
133,0.06,68.74
134,0.05,68.84
135,0.07,67.43
136,0.11,67.8
137,0.11,68.28
138,0.12,68.02
139,0.13,67.93
140,0.16,66.7
141,0.11,68.02
142,0.09,67.91
143,0.12,68.1
144,0.13,67.18
145,0.14,67.93
146,0.1,68.36
147,0.1,67.59
148,0.13,67.89
149,0.1,68.45
150,0.12,67.73
151,0.17,67.22
152,0.11,68.12
153,0.14,66.72
154,0.13,68.02
155,0.11,67.35
156,0.11,68.11
157,0.15,67.83
158,0.17,65.93
159,0.16,68.7
160,0.15,67.04
161,0.15,68.39
162,0.17,67.68
163,0.16,66.6
164,0.13,67.37
165,0.16,66.93
166,0.11,67.37
167,0.17,66.85
168,0.16,66.87
169,0.13,67.81
170,0.15,66.71
171,0.14,67.73
172,0.14,67.95
173,0.17,66.8
174,0.12,67.89
175,0.17,67.12
176,0.18,66.96
177,0.17,66.98
178,0.14,66.78
179,0.16,67.22
180,0.15,67.45
181,0.22,66.08
182,0.2,66.67
183,0.16,67.58
184,0.18,66.3
185,0.18,66.72
186,0.2,66.98
187,0.16,67.38
188,0.16,67.49
189,0.16,66.73
190,0.19,66.49
191,0.19,67.93
192,0.17,67.41
193,0.23,67.52
194,0.19,66.66
195,0.18,65.92
196,0.25,65.77
197,0.19,67.45
198,0.14,67.26
199,0.17,67.81
200,0.16,67.34
